☕,카페에서 주문하기,자연스러운 영어 회화
🏢,회사에서 자기소개,전문적인 비즈니스 표현
✈️,공항 입국 심사,필수 여행 영어
🚕,택시 목적지 말하기,실전 생활 표현
🍽️,레스토랑 예약하기,실전 식당 영어
🏨,호텔 체크인,여행 필수 표현
🚇,지하철 길 묻기,도시 이동 표현
🏥,병원에서 증상 설명,건강 관련 영어
🛒,환불 요청하기,쇼핑 상황 대화
📦,택배 배송 문제 문의,고객센터 실전 표현
💼,면접에서 자기소개,커리어 영어
📅,회의 일정 조율,비즈니스 협업 표현
📚,수업 과제 질문하기,학업 영어 표현
🚨,분실물 신고하기,긴급 상황 대처
🏦,은행 계좌 개설하기,금융 영어 표현
🏠,부동산에서 집 구하기,주거 관련 표현
🏋️,헬스장 등록하기,운동·건강 표현
💇,미용실에서 머리하기,뷰티·생활 표현
🎬,영화관 티켓 예매,엔터테인먼트 표현
📖,도서관에서 책 빌리기,학습·문화 표현
💊,약국에서 약 사기,건강·의료 표현
📮,우체국에서 택배 보내기,생활 서비스 표현
👕,세탁소에서 옷 맡기기,일상 서비스 표현
⛽,주유소에서 주유하기,자동차 생활 표현
👋,새 이웃에게 인사하기,사교·인사 표현
🛍️,온라인 쇼핑 문의하기,전자상거래 표현
📞,전화로 예약 변경하기,전화 영어 표현
🍕,음식 배달 주문하기,배달앱 실전 표현
🗺️,여행 계획 세우기,여행 준비 표현
🌤️,날씨에 대해 대화하기,일상 스몰토크
🎸,취미 소개하기,자기소개·취미 표현
🐾,반려동물 병원 방문,동물병원 표현
🍳,요리 수업 등록하기,문화·취미 표현
🎓,졸업식에서 축하하기,축하·감사 표현
🚗,렌터카 빌리기,여행·교통 표현
🦷,치과 예약하기,의료·건강 표현
🛃,면세점에서 쇼핑하기,쇼핑 영어 표현
💻,IT 지원 요청하기,기술·IT 표현
📦,이사 견적 문의하기,이사·주거 표현
🛡️,보험 상담 받기,금융·보험 표현
🪪,운전면허 갱신하기,관공서·행정 표현
🤝,동호회 가입하기,사교·모임 표현
⛺,캠핑장 예약하기,아웃도어·레저 표현
🎭,공연 티켓 예매하기,문화·예술 표현
💒,결혼식 축하 인사,경조사 표현
🙋,자원봉사 신청하기,사회·봉사 표현
📱,SNS 계정 문제 해결,디지털 생활 표현
📝,이력서 피드백 부탁하기,커리어 개발 표현
🎒,유학 상담 받기,교육·유학 표현
🏡,홈스테이 문의하기,숙박·유학 표현
💱,환전하기,금융·여행 표현
📶,와이파이 연결 문의,숙박·기술 표현
🧳,세관 신고하기,공항·여행 표현
✈️,비행기 기내 서비스,항공 여행 표현
🏨,호텔 컴플레인 하기,숙박 문제 표현
ℹ️,관광 안내소 이용하기,관광·여행 표현
🏛️,박물관 관람하기,문화·관광 표현
🎢,놀이공원에서 즐기기,레저·엔터 표현
🏖️,해변에서 휴식하기,휴양·레저 표현
⛷️,스키장 이용하기,겨울 스포츠 표현
⛳,골프장 예약하기,스포츠·레저 표현
🏊,수영장 등록하기,운동·건강 표현
📸,사진관에서 증명사진 찍기,생활 서비스 표현
💐,꽃집에서 꽃 주문하기,선물·기념일 표현
🎂,케이크 주문하기,기념일·축하 표현
🏘️,이사 인사하기,이웃·사교 표현
🎉,생일파티 초대하기,파티·사교 표현
👥,동창회 참석하기,사교·추억 표현
💕,소개팅 대화하기,소개팅·만남 표현
📖,스터디 모임 참여하기,학습·모임 표현
📕,독서 토론 참여하기,문화·토론 표현
🏃,운동 약속 잡기,헬스·사교 표현
🤔,의사소통 오해 풀기,대인관계 표현
🙏,사과하고 화해하기,대인관계 표현
💝,감사 인사 전하기,감사·예절 표현
🎁,선물 고르기,쇼핑·기념일 표현
🌐,인터넷 장애 신고하기,통신·기술 표현
📱,스마트폰 수리 맡기기,전자기기 수리 표현
🔧,자동차 정비소 방문,자동차 관리 표현
🛡️,보험 청구하기,보험·행정 표현
🧾,세금 신고 상담하기,세무·행정 표현
👨‍👩‍👧,학부모 상담하기,교육·학교 표현
👶,어린이집 등록하기,육아·교육 표현
👴,노인 돌봄 서비스 신청,복지·돌봄 표현
🕯️,장례식 조문하기,경조사 표현
🪪,인테리어 상담하기,인테리어·주거 표현
🚰,정수기 설치 요청하기,가전·생활 표현
❄️,에어컨 수리 문의하기,가전 수리 표현
🚕,택시에 물건 놓고 내리기,분실물 대처 표현
🍺,숙취 해소 방법 묻기,건강·일상 표현
🥗,다이어트 상담하기,건강·식단 표현
💪,PT 수업 등록하기,운동·피트니스 표현
🧘,요가 수업 참여하기,웰빙·운동 표현
💅,네일샵에서 시술받기,뷰티·패션 표현
👓,안경점에서 안경 맞추기,건강·생활 표현
🦷,치과 교정 상담하기,치과·의료 표현
🧴,피부과 상담 받기,의료·뷰티 표현
🌿,한의원 진료 받기,한방·건강 표현
🚑,응급실 방문하기,응급·의료 표현
